pin_nhash_id,polygon_nhash_id,atlas_id,local_name,slab_nhash_id,donor_nhash_id,slab_name,donor_name,pin_MNI_x,pin_MNI_y,pin_MNI_z,polygon_area,polygon_volume(mm^3),MNI_x_mm,MNI_y_mm,MNI_z_mm,structure_name,structure_acronym
RI-BICCJG295829,RI-RNLOQK468035,265297126,H19.30.001.10x.A35-A36,SL-HBBUWX135273,DO-HBBU1352,H19.30.001.CX.48,H19.30.001,139,252,64,15091,251,28.5,8,-40,perirhinal gyrus ( rostral part of FuGt),PRG
RI-QYTTWQ348208,RI-KHOGGL686380,265297126,H19.30.001.CX49.MTC,SL-HBBUCZ135225,DO-HBBU1352,H19.30.001.CX.49,H19.30.001,65,221,126,35745,558,65.5,23.5,-9,middle temporal gyrus,MTG
RI-VPQMOP656902,RI-PIJLHI225609,265297126,H19.30.001.10x.CA1R-CA2R-CA3R,SL-HBBUTY135243,DO-HBBU1352,H19.30.001.CX.50,H19.30.001,139,217,118,13461.5,255,28.5,25.5,-13,body of hippocampus,HiB
RI-LPOHML579703,RI-JEKMGI148697,265297126,H19.30.001.CX46.Pu,SL-HBBUVP135290,DO-HBBU1352,H19.30.001.CX.46,H19.30.001,148,273,159,25095,318,24,-2.5,7.5,putamen,Pu
RI-DEBBBE153972,RI-CIJEEG368317,265297126,H18.30.002.10x.HTHpo,SL-KFFCYT489056,DO-KFFC4890,H18.30.002.CX.47,H18.30.002,197,263,133,8780,537,-0.5,2.5,-5.5,third ventricle,3V
RI-ZWXEEW863872,RI-CHCKFE595662,265297126,H18.30.002.10x.Idg.003,SL-KFFCMT489071,DO-KFFC4890,H18.30.002.CX.48,H18.30.002,114,225,148,4762,290,41,21.5,2,transverse temporal gyrus (Heschl's gyrus),TTG
RI-ZVVRAX548123,RI-HBIGBF886341,265297126,H19.30.002.10x.La,SL-RLQJNI866689,DO-RLQJ8666,H19.30.002.CX.48,H19.30.002,151,253,88,22349,426,22.5,7.5,-28,head of hippocampus,HiH
RI-XZXWXV131555,RI-HELJHD889177,265297126,H19.30.002.CX50.THM1.MNC,SL-RLQJWW866674,DO-RLQJ8666,H19.30.002.CX.50,H19.30.002,164,221,157,7582.5,137,16,23.5,6.5,pulvinar of thalamus,Pul
RI-SPUYRR826321,RI-ROSMMO217838,265297126,H19.30.001.CX47.BF,SL-HBBUDD135255,DO-HBBU1352,H19.30.001.CX.47,H19.30.001,164,249,137,21737,514,16,9.5,-3.5,white matter of forebrain,FWM
RI-OOQOVR608258,RI-TSSVYV819355,265297126,H19.30.001.10x.A43,SL-HBBUWX135273,DO-HBBU1352,H19.30.001.CX.48,H19.30.001,90,226,170,45297,754,53,21,13,outside_brain,OUT
RI-UOOOOR583271,RI-DWXWYX533566,265297126,H19.30.001.CX50.ITC,SL-HBBUTY135243,DO-HBBU1352,H19.30.001.CX.50,H19.30.001,90,237,65,43873,831,53,15.5,-39.5,inferior temporal gyrus,ITG
RI-USYXUQ682515,RI-XWAYDX170242,265297126,H18.30.002.10x.SI,SL-KFFCYT489056,DO-KFFC4890,H18.30.002.CX.47,H18.30.002,165,257,128,7324,448,15.5,5.5,-8,white matter of forebrain,FWM
RI-BZZDBE558505,RI-DCBBIC250302,265297126,H18.30.002.10x.HTHtub,SL-KFFCMT489071,DO-KFFC4890,H18.30.002.CX.48,H18.30.002,201,242,120,7325.5,446,-2.5,13,-12,midbrain tegmentum,MTg
RI-FFABCF667134,RI-GFDFHD761439,265297126,H19.30.002.CX48.GPe,SL-RLQJNI866689,DO-RLQJ8666,H19.30.002.CX.48,H19.30.002,160,239,157,10218,194,18,14.5,6.5,ventral lateral nucleus of thalamus,VL
RI-AXTWYR289813,RI-PQRPRQ665715,265297126,H19.30.001.CX48.Idg,SL-HBBUWX135273,DO-HBBU1352,H19.30.001.CX.48,H19.30.001,114,226,150,3938,65,41,21,3,transverse temporal gyrus (Heschl's gyrus),TTG
RI-HAGJDC228150,RI-MLOKRN252391,265297126,H18.30.002.10x.HTHso,SL-KFFCYT489056,DO-KFFC4890,H18.30.002.CX.47,H18.30.002,200,266,126,19774.5,1211,-2,1,-9,supraoptic region of HTH,HTHso
RI-IKIILJ504978,RI-DYCAWY126562,265297126,H18.30.002.10x.STG,SL-KFFCZT489026,DO-KFFC4890,H18.30.002.CX.49,H18.30.002,65,216,166,3003,183,65.5,26,11,superior temporal gyrus,STG
RI-BTWUBX209319,RI-SZSAUW677317,265297126,H19.30.002.10x.NAC,SL-RLQJWR866652,DO-RLQJ8666,H19.30.002.CX.46,H19.30.002,188,276,136,3256.5,54,4,-4,-4,bed nucleus of stria terminalis,BNST
RI-BTWUBX209319,RI-LLSRKQ567927,265297126,H19.30.002.CX46.NAC,SL-RLQJWR866652,DO-RLQJ8666,H19.30.002.CX.46,H19.30.002,188,272,137,15330,255,4,-2,-3.5,bed nucleus of stria terminalis,BNST
RI-YCWZXY910878,RI-GLEEMJ507238,265297126,H19.30.002.CX47.Pu,SL-RLQJDG866647,DO-RLQJ8666,H19.30.002.CX.47,H19.30.002,139,263,171,19188,359,28.5,2.5,13.5,putamen,Pu
RI-BXWWAA269485,RI-ILKKHH497075,265297126,H19.30.002.10x.A23,SL-RLQJLL866617,DO-RLQJ8666,H19.30.002.CX.52,H19.30.002,198,180,236,94282.5,1751,-1,44,46,precuneus,PrCun
RI-JRLLJJ587375,RI-RTPYRP517259,265297126,H19.30.001.10x.A23,SL-HBBUTT135271,DO-HBBU1352,H19.30.001.CX.52,H19.30.001,198,163,195,5344,85,-1,52.5,25.5,"cingulate gyrus, caudal (posterior) part",CgGc
RI-FFBEGA490879,RI-VATBYV218627,265297126,H19.30.001.CB62.CBL,SL-HBBUCD135228,DO-HBBU1352,H19.30.001.CB.62,H19.30.001,96,131,84,34282.5,396,50,68.5,-30,lateral hemisphere of cerebellum,CBL
RI-ACEBGJ863434,RI-HLJGPH596030,265297126,H19.30.001.CX58.V1C,SL-HBBUZT135268,DO-HBBU1352,H19.30.001.CX.58,H19.30.001,170,57,154,14352,126,13,105.5,5,occipital pole,OP
RI-NSOSSP483921,RI-VQTPSP696840,265297126,H18.30.002.10x.SC,SL-KFFCKO489066,DO-KFFC4890,H18.30.002.CX.51,H18.30.002,197,198,120,8218,528,-0.5,35,-12,cerebral aqueduct,Aq
RI-CWYWDB825600,RI-OGIGKI180784,265297126,H18.30.002.10x.IO,SL-KFFCFM489091,DO-KFFC4890,H18.30.002.CX.52,H18.30.002,188,199,40,11061.5,678,4,34.5,-52,tegmentum of medulla oblongata,MoTg
RI-ACFZDB762449,RI-PIKJJL695168,265297126,H19.30.002.10x.A46,SL-RLQJII866689,DO-RLQJ8666,H19.30.002.CX.43,H19.30.002,96,299,240,14400,158,50,-15.5,48,middle frontal gyrus,MFG
RI-WXTTQU741380,RI-BFCBAD300560,265297126,H19.30.002.CX49.MTC,SL-RLQJQV866644,DO-RLQJ8666,H19.30.002.CX.49,H19.30.002,53,232,119,28473.5,494,71.5,18,-12.5,middle temporal gyrus,MTG
RI-TNTNST232557,RI-EJJBJD167960,265297126,H19.30.002.10x.LG,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,148,211,128,21358,361,24,28.5,-8,white matter of forebrain,FWM
RI-NJIKHQ264635,RI-HEEAIJ809354,265297126,H19.30.001.10x.ANC,SL-HBBUDD135255,DO-HBBU1352,H19.30.001.CX.47,H19.30.001,170,256,177,46195.5,1093,13,6,16.5,white matter of forebrain,FWM
RI-NPTKKK994042,RI-FEGGZY655171,265297126,H19.30.001.10x.LP,SL-HBBUTY135243,DO-HBBU1352,H19.30.001.CX.50,H19.30.001,164,203,173,18259,345,16,32.5,14.5,body of lateral ventricle,bLV
RI-VURPNR246128,RI-SWRVYX981490,265297126,H19.30.001.10x.SC,SL-HBBULN135262,DO-HBBU1352,H19.30.001.CX.51,H19.30.001,201,205,124,25519.5,463,-2.5,31.5,-10,midbrain tegmentum,MTg
RI-YUVCUU232797,RI-EHHIGH692799,265297126,H19.30.001.10x.A29-A30,SL-HBBUTT135271,DO-HBBU1352,H19.30.001.CX.52,H19.30.001,170,172,184,23677.5,379,13,48,20,white matter of forebrain,FWM
RI-EIDHDH688846,RI-XZCXFB154567,265297126,H18.30.002.10x.LEC,SL-KFFCYT489056,DO-KFFC4890,H18.30.002.CX.47,H18.30.002,164,264,98,6559,401,16,2,-23,amygdaloid complex,AMY
RI-SMOSUR547441,RI-PRVVOO211627,265297126,H18.30.002.10x.A1C,SL-KFFCZT489026,DO-KFFC4890,H18.30.002.CX.49,H18.30.002,114,204,156,1898,116,41,32,6,white matter of forebrain,FWM
RI-FJHFFH565843,RI-SPSXTV625600,265297126,H19.30.002.10x.CaB,SL-RLQJWR866652,DO-RLQJ8666,H19.30.002.CX.46,H19.30.002,164,271,181,11489.5,191,16,-1.5,18.5,body of caudate,CaB
RI-FJHFFH565843,RI-CAHZGB657902,265297126,H19.30.002.CX46.CaH,SL-RLQJWR866652,DO-RLQJ8666,H19.30.002.CX.46,H19.30.002,164,271,178,26874,447,16,-1.5,17,body of caudate,CaB
RI-BFBIJD150332,RI-EGJBFC749529,265297126,H19.30.002.CX47.CaB,SL-RLQJDG866647,DO-RLQJ8666,H19.30.002.CX.47,H19.30.002,164,260,196,8167.5,153,16,4,26,anterior horn of lateral ventricle,aLV
RI-GDCYCG580240,RI-VTUVXV992956,265297126,H19.30.002.10x.Pu,SL-RLQJNI866689,DO-RLQJ8666,H19.30.002.CX.48,H19.30.002,151,232,162,22089.5,421,22.5,18,9,white matter of forebrain,FWM
RI-FKEHJE440937,RI-HFIFGF559498,265297126,H19.30.002.10x.MEC.005,SL-RLQJQV866644,DO-RLQJ8666,H19.30.002.CX.49,H19.30.002,164,227,92,15905.5,276,16,20.5,-26,outside_brain,OUT
RI-WTXXBW460140,RI-QPVSRX885600,265297126,H19.30.002.10x.RN,SL-RLQJWW866674,DO-RLQJ8666,H19.30.002.CX.50,H19.30.002,188,227,100,16921.5,306,4,20.5,-22,basilar part of pons,PnBa
RI-EDFJID582348,RI-WWWWUD457074,265297126,H19.30.002.CX58.V1C,SL-RLQJGG866632,DO-RLQJ8666,H19.30.002.CX.58,H19.30.002,164,114,149,8987.5,101,16,77,2.5,white matter of forebrain,FWM
RI-KKOLNL416842,RI-OQKNMN245372,265297126,H19.30.002.CB61.CBV,SL-RLQJBB866653,DO-RLQJ8666,H19.30.002.CB.61,H19.30.002,188,137,88,17741.5,224,4,65.5,-28,white matter of hindbrain,HWM
RI-MPOOPN562365,RI-KMQILM507320,265297126,H19.30.002.CB63.CBL,SL-RLQJVY866691,DO-RLQJ8666,H19.30.002.CB.63,H19.30.002,115,119,76,16924,176,40.5,74.5,-34,white matter of hindbrain,HWM
RI-ZZXBFX719443,RI-CDBDFF281763,265297126,H19.30.001.10x.LEC.001,SL-HBBUDD135255,DO-HBBU1352,H19.30.001.CX.47,H19.30.001,164,260,92,2058.5,48,16,4,-26,anterior parahippocampal gyrus,APH
RI-POOMON871011,RI-ONJLJI146178,265297126,H19.30.001.10x.MEC.004,SL-HBBUWX135273,DO-HBBU1352,H19.30.001.CX.48,H19.30.001,164,243,97,43172,719,16,12.5,-23.5,head of hippocampus,HiH
RI-POOMON871011,RI-CGBIEG326664,265297126,H19.30.001.CX48.MEC,SL-HBBUWX135273,DO-HBBU1352,H19.30.001.CX.48,H19.30.001,164,244,93,6072,101,16,12,-25.5,anterior parahippocampal gyrus,APH
RI-XUZZSX790548,RI-HJELEG599356,265297126,H19.30.001.10x.A5-A7,SL-HBBUTM135257,DO-HBBU1352,H19.30.001.CX.53,H19.30.001,189,125,254,24299,360,3.5,71.5,55,precuneus,PrCun
RI-XUZZSX790548,RI-KLKNFF261539,265297126,H19.30.001.CX53.A7,SL-HBBUTM135257,DO-HBBU1352,H19.30.001.CX.53,H19.30.001,189,125,256,50343,745,3.5,71.5,56,precuneus,PrCun
RI-JKIKMP568602,RI-RSOMSL572243,265297126,H19.30.001.CB60.CBV,SL-HBBUVS135242,DO-HBBU1352,H19.30.001.CB.60,H19.30.001,165,156,83,21798,285,15.5,56,-30.5,cerebellar deep nuclei,CbDN
RI-SRTUTP832274,RI-QQPUXS973221,265297126,H19.30.001.10x.CaB,SL-HBBUPU135265,DO-HBBU1352,H19.30.001.CX.45,H19.30.001,164,297,179,67218,1281,16,-14.5,17.5,head of caudate,CaH
RI-SRTUTP832274,RI-DGZDAH995721,265297126,H19.30.001.CX45.CaH,SL-HBBUPU135265,DO-HBBU1352,H19.30.001.CX.45,H19.30.001,164,294,183,48746,929,16,-13,19.5,head of caudate,CaH
RI-QXVPST186746,RI-AXDZVW709353,265297126,H19.30.002.CX48.Idg,SL-RLQJNI866689,DO-RLQJ8666,H19.30.002.CX.48,H19.30.002,114,249,158,8909,169,41,9.5,7,long insular gyri,LIG
RI-MQLQUM452125,RI-JLJIEJ401340,265297126,H18.30.002.10x.A44-A45,SL-KFFCUB489027,DO-KFFC4890,H18.30.002.CX.45,H18.30.002,71,294,184,2974,181,62.5,-13,20,outside_brain,OUT
RI-WXUQTV967242,RI-XAWZSZ801572,265297126,H18.30.002.10x.A25,SL-KFFCNK489015,DO-KFFC4890,H18.30.002.CX.46,H18.30.002,197,276,128,3616,216,-0.5,-4,-8,white matter of forebrain,FWM
RI-YXZXFX149393,RI-AWWRSV261057,265297126,H18.30.002.10x.A35r,SL-KFFCMT489071,DO-KFFC4890,H18.30.002.CX.48,H18.30.002,136,249,84,18711,1141,30,9.5,-30,anterior parahippocampal gyrus,APH
RI-XGEFXB187847,RI-BEFZHB823782,265297126,H18.30.002.10x.CM,SL-KFFCZT489026,DO-KFFC4890,H18.30.002.CX.49,H18.30.002,164,226,135,4772,291,16,21,-4.5,zona incerta,ZI
RI-FGDYYY776695,RI-NIKIHM353971,265297126,H19.30.002.10x.CMN,SL-RLQJNI866689,DO-RLQJ8666,H19.30.002.CX.48,H19.30.002,164,249,114,29837.5,568,16,9.5,-15,head of hippocampus,HiH
RI-DZEBAC571192,RI-AYBBYY777865,265297126,H19.30.002.CX49.ITC,SL-RLQJQV866644,DO-RLQJ8666,H19.30.002.CX.49,H19.30.002,91,253,54,45129,783,52.5,7.5,-45,inferior temporal gyrus,ITG
RI-HBEEBB278070,RI-GAGDBC360646,265297126,H19.30.002.10x.DG-CA4,SL-RLQJWW866674,DO-RLQJ8666,H19.30.002.CX.50,H19.30.002,139,230,104,8950.5,162,28.5,19,-20,head of hippocampus,HiH
RI-LGNIGM663031,RI-UZAWRA736623,265297126,H19.30.002.10x.Rostral CA1-CA3,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,139,218,97,22758,385,28.5,25,-23.5,posterior parahippocampal gyrus,PPH
RI-MIIDDF405915,RI-RNRNPO507270,265297126,H19.30.001.10x.HTHpo-HTHso,SL-HBBUDD135255,DO-HBBU1352,H19.30.001.CX.47,H19.30.001,201,261,136,15009.5,355,-2.5,3.5,-4,third ventricle,3V
RI-KLHDGF646440,RI-TPLOPM678975,265297126,H19.30.001.10x.GPe,SL-HBBUWX135273,DO-HBBU1352,H19.30.001.CX.48,H19.30.001,151,231,144,15620,260,22.5,18.5,0,white matter of forebrain,FWM
RI-KDHFCH824774,RI-EAEHZE947439,265297126,H19.30.001.10x.MD,SL-HBBUCZ135225,DO-HBBU1352,H19.30.001.CX.49,H19.30.001,164,225,161,1327,20,16,21.5,8.5,lateral posterior nucleus of thalamus,LP
RI-XBGBEX492203,RI-LHLEHL386987,265297126,H19.30.001.10x.MG,SL-HBBUTY135243,DO-HBBU1352,H19.30.001.CX.50,H19.30.001,164,226,132,14352,271,16,21,-6,zona incerta,ZI
RI-BVWWVV230875,RI-IFFJKH258367,265297126,H19.30.001.10x.FI,SL-HBBUVP135290,DO-HBBU1352,H19.30.001.CX.46,H19.30.001,127,281,124,14785.5,187,34.5,-6.5,-10,white matter of forebrain,FWM
RI-EDFGIC121784,RI-NQLQSM722368,265297126,H18.30.002.10x.A24,SL-KFFCUB489027,DO-KFFC4890,H18.30.002.CX.45,H18.30.002,201,272,216,2723.5,165,-2.5,-2,36,"cingulate gyrus, rostral (anterior) part",CgGr
RI-RPPRQS965705,RI-IHGOFJ464963,265297126,H18.30.002.10x.BN.001,SL-KFFCNK489015,DO-KFFC4890,H18.30.002.CX.46,H18.30.002,188,272,138,16662.5,996,4,-2,-3,bed nucleus of stria terminalis,BNST
RI-PTSWTX441547,RI-TXTQWU755862,265297126,H18.30.002.10x.LP-VPL,SL-KFFCZT489026,DO-KFFC4890,H18.30.002.CX.49,H18.30.002,139,218,149,12054,736,28.5,25,2.5,white matter of forebrain,FWM
RI-PTLPMU215265,RI-GGGDCC358828,265297126,H18.30.002.10x.TF,SL-KFFCPR489021,DO-KFFC4890,H18.30.002.CX.50,H18.30.002,139,213,89,6125.5,374,28.5,27.5,-27.5,posterior parahippocampal gyrus,PPH
RI-UVNMSN363622,RI-KSMLKK607031,265297126,H19.30.002.CX47.BF,SL-RLQJDG866647,DO-RLQJ8666,H19.30.002.CX.47,H19.30.002,165,265,118,7140.5,133,15.5,1.5,-13,basal forebrain,BF
RI-WZZDVE986539,RI-FYXBYF843541,265297126,H19.30.002.10x.ANC,SL-RLQJNI866689,DO-RLQJ8666,H19.30.002.CX.48,H19.30.002,165,243,172,31757.5,605,15.5,12.5,14,ventral anterior nucleus of thalamus,VA
RI-WVWWAR394411,RI-FGIBAB872430,265297126,H19.30.002.10x.GPi.003,SL-RLQJQV866644,DO-RLQJ8666,H19.30.002.CX.49,H19.30.002,139,221,135,9003.5,156,28.5,23.5,-4.5,white matter of forebrain,FWM
RI-GZABDZ557985,RI-WWURVR679449,265297126,H19.30.002.10x.SN.003,SL-RLQJWW866674,DO-RLQJ8666,H19.30.002.CX.50,H19.30.002,170,225,105,11109,201,13,21.5,-19.5,cerebral peduncle (crus cerebri),cpd
RI-AAFCXX832152,RI-URVRQS384556,265297126,H19.30.002.10x.VLN,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,148,203,157,13343.5,225,24,32.5,6.5,white matter of forebrain,FWM
RI-UWRYZW263709,RI-VUWYXU885423,265297126,H19.30.002.10x.TF,SL-RLQJLL866617,DO-RLQJ8666,H19.30.002.CX.52,H19.30.002,121,214,80,3715,69,37.5,27,-32,outside_brain,OUT
RI-YUXYAZ378241,RI-VTTAWX572200,265297126,H19.30.001.10x.BM,SL-HBBUDD135255,DO-HBBU1352,H19.30.001.CX.47,H19.30.001,164,252,109,9086,215,16,8,-17.5,amygdalohippocampal area,AHA
RI-NPSSUT767844,RI-LLRTRP403894,265297126,H19.30.001.10x.GPi,SL-HBBUWX135273,DO-HBBU1352,H19.30.001.CX.48,H19.30.001,151,234,140,13479.5,224,22.5,17,-2,white matter of forebrain,FWM
RI-MLMNMJ947811,RI-CXGXGB161145,265297126,H19.30.001.10x.A1C.003,SL-HBBUCZ135225,DO-HBBU1352,H19.30.001.CX.49,H19.30.001,114,204,155,20255,316,41,32,5.5,white matter of forebrain,FWM
RI-ZWEDAD989582,RI-KKKKLK928778,265297126,H19.30.001.10x.PTR,SL-HBBUTY135243,DO-HBBU1352,H19.30.001.CX.50,H19.30.001,198,216,135,15603,295,-1,26,-4.5,cerebral aqueduct,Aq
RI-INEJII502376,RI-SRTUPQ786852,265297126,H19.30.001.10x.AON,SL-HBBUVP135290,DO-HBBU1352,H19.30.001.CX.46,H19.30.001,164,260,124,23417.5,297,16,4,-10,white matter of forebrain,FWM
RI-HCBDZC408147,RI-QNORPT627055,265297126,H18.30.002.10x.BN.002,SL-KFFCNK489015,DO-KFFC4890,H18.30.002.CX.46,H18.30.002,151,276,149,30605.5,1830,22.5,-4,2.5,putamen,Pu
RI-DYAYFX370678,RI-RRRSNO397761,265297126,H18.30.002.10x.A35-A36,SL-KFFCZT489026,DO-KFFC4890,H18.30.002.CX.49,H18.30.002,114,226,75,1996,122,41,21,-34.5,perirhinal gyrus ( rostral part of FuGt),PRG
RI-QSZRUR996622,RI-XXTCYY981857,265297126,H18.30.002.10x.LG.002,SL-KFFCPR489021,DO-KFFC4890,H18.30.002.CX.50,H18.30.002,151,203,120,6245,382,22.5,32.5,-12,white matter of forebrain,FWM
RI-YZQVQR277852,RI-XZVYXV804795,265297126,H19.30.002.10x.SI,SL-RLQJDG866647,DO-RLQJ8666,H19.30.002.CX.47,H19.30.002,171,261,141,17225,322,12.5,3.5,-1.5,white matter of forebrain,FWM
RI-TOPXSQ993942,RI-AEACZY984722,265297126,H19.30.002.10x.Cla,SL-RLQJNI866689,DO-RLQJ8666,H19.30.002.CX.48,H19.30.002,139,241,136,13669,260,28.5,13.5,-4,putamen,Pu
RI-XBCAFB216473,RI-EDFDJF268346,265297126,H19.30.002.10x.A35-A36,SL-RLQJQV866644,DO-RLQJ8666,H19.30.002.CX.49,H19.30.002,139,241,79,50352,874,28.5,13.5,-32.5,anterior parahippocampal gyrus,APH
RI-XTRTUV988509,RI-KIKGHM356100,265297126,H19.30.002.10x.CM-Pf,SL-RLQJWW866674,DO-RLQJ8666,H19.30.002.CX.50,H19.30.002,164,226,134,25929.5,469,16,21,-5,zona incerta,ZI
RI-ONLNLO422589,RI-UTQQNP736071,265297126,H19.30.002.10x.PAG-DR,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,201,222,118,18106.5,306,-2.5,23,-13,red nucleus,RN
RI-SQRPXQ758487,RI-BYZCAU330454,265297126,H19.30.002.10x.TH-TL,SL-RLQJLL866617,DO-RLQJ8666,H19.30.002.CX.52,H19.30.002,151,203,98,4173,77,22.5,32.5,-23,outside_brain,OUT
RI-SQRPXQ758487,RI-GFCBJG606580,265297126,H19.30.002.CX52.PPHC,SL-RLQJLL866617,DO-RLQJ8666,H19.30.002.CX.52,H19.30.002,151,203,104,14231.5,264,22.5,32.5,-20,posterior parahippocampal gyrus,PPH
RI-NGNIGO731073,RI-GIHOKP515898,265297126,H19.30.001.10x.CEN,SL-HBBUDD135255,DO-HBBU1352,H19.30.001.CX.47,H19.30.001,151,253,120,12165,288,22.5,7.5,-12,medial nucleus,Me
RI-YCBUVV442956,RI-HLFGII748283,265297126,H19.30.001.10x.VLN,SL-HBBUWX135273,DO-HBBU1352,H19.30.001.CX.48,H19.30.001,161,225,173,2115,35,17.5,21.5,14.5,ventral lateral nucleus of thalamus,VL
RI-YVADAX986253,RI-OLOUNM617875,265297126,H19.30.001.10x.ETH,SL-HBBUTY135243,DO-HBBU1352,H19.30.001.CX.50,H19.30.001,212,214,140,8966.5,169,-8,27,-2,pretectal region,PTR
RI-FCYADC905422,RI-ADVAWX519215,265297126,H19.30.001.10x.SI,SL-HBBUVP135290,DO-HBBU1352,H19.30.001.CX.46,H19.30.001,176,263,134,3765,47,10,2.5,-5,white matter of forebrain,FWM
RI-AAEYDE808569,RI-TQXQQV294959,265297126,H18.30.002.10x.MTG,SL-KFFCZT489026,DO-KFFC4890,H18.30.002.CX.49,H18.30.002,65,221,95,4999.5,305,65.5,23.5,-24.5,middle temporal gyrus,MTG
RI-IIHMLL979553,RI-MIHHHK631232,265297126,H18.30.002.10x.Pro,SL-KFFCCX489028,DO-KFFC4890,H18.30.002.CX.53,H18.30.002,164,159,160,14076,920,16,54.5,8,precuneus,PrCun
RI-OJJLFH467043,RI-AHDACD450605,265297126,H19.30.002.10x.Pro.001,SL-RLQJWV866671,DO-RLQJ8666,H19.30.002.CX.56,H19.30.002,148,150,145,75250.5,975,24,59,0.5,white matter of forebrain,FWM
RI-OJJLFH467043,RI-OKQKKM498999,265297126,H19.30.002.CX56.Pro,SL-RLQJWV866671,DO-RLQJ8666,H19.30.002.CX.56,H19.30.002,148,150,142,16554.5,214,24,59,-1,white matter of forebrain,FWM
RI-YXXUBT254845,RI-PPNMNJ308134,265297126,H19.30.001.10x.Ig,SL-HBBUCZ135225,DO-HBBU1352,H19.30.001.CX.49,H19.30.001,136,207,169,36394.5,568,30,30.5,12.5,white matter of forebrain,FWM
RI-YXXUBT254845,RI-BECYYZ401152,265297126,H19.30.001.CX49.Ig,SL-HBBUCZ135225,DO-HBBU1352,H19.30.001.CX.49,H19.30.001,136,207,168,28230.5,441,30,30.5,12,white matter of forebrain,FWM
RI-FFWYWA968860,RI-RPNQRW947713,265297126,H19.30.001.CX51.HIPc,SL-HBBULN135262,DO-HBBU1352,H19.30.001.CX.51,H19.30.001,139,196,122,34316,623,28.5,36,-11,white matter of forebrain,FWM
RI-WQPSXS871769,RI-EHFHGI219858,265297126,H19.30.001.10x.Pro,SL-HBBUTM135257,DO-HBBU1352,H19.30.001.CX.53,H19.30.001,163,165,163,36583,541,16.5,51.5,9.5,"cingulate gyrus, caudal (posterior) part",CgGc
RI-WQPSXS871769,RI-LNQQLJ102734,265297126,H19.30.001.CX53.Pro,SL-HBBUTM135257,DO-HBBU1352,H19.30.001.CX.53,H19.30.001,163,165,153,17124.5,253,16.5,51.5,4.5,"cingulate gyrus, caudal (posterior) part",CgGc
RI-JFHNOK860813,RI-STYTWW569545,265297126,H18.30.002.10x.A46,SL-HBBUSS135270,DO-HBBU1352,H19.30.001.CX.43,H19.30.001,114,314,247,191790,3712,41,-23,51.5,middle frontal gyrus,MFG
RI-JFHNOK860813,RI-VVRQSR216359,265297126,H19.30.001.CX43.A46,SL-HBBUSS135270,DO-HBBU1352,H19.30.001.CX.43,H19.30.001,114,314,248,21234,411,41,-23,52,middle frontal gyrus,MFG
RI-TZTUVW649810,RI-RLRSJN979845,265297126,H19.30.001.CX45.A25,SL-HBBUPU135265,DO-HBBU1352,H19.30.001.CX.45,H19.30.001,197,298,142,41664,794,-0.5,-15,-1,subcallosal gyrus (parolfactory gyrus),SCG
RI-YVACZX756853,RI-OQNOPN489825,265297126,H19.30.001.CX46.CaB,SL-HBBUVP135290,DO-HBBU1352,H19.30.001.CX.46,H19.30.001,164,271,184,25802,327,16,-1.5,20,body of caudate,CaB
